pc_1;pc_2;pc_3;pc_4;pc_5;pc_6;pc_7;pc_8;pc_9;name;formula;acting in self-defence;acting on anger;action consequence;action timing;action type;age;chapter;final effect on offender;number of previous offences;offence avenged;offence impact;offence type;offence weight;offender status;page;previous offence;reaction effect;reaction force;restraint exercised;restraint rationale;restraint type;revenge timing;target match;id
0.019571015989016616;0.6954758119129975;-0.28682236265655514;0.6918349427974428;0.15616142302145214;-0.09979060926159257;-0.00743634247147372;-0.13176783128751093;-0.26846729174433887;Grettir vs father (goslings);temper management;0.0;1.0;2.0;1.0;3.0;0.0;14.0;2.0;0.07692307692307693;1.0;2.0;4.0;3.0;3.0;64.8;1;0.0;1.0;1.0;3.0;5.0;1.0;0.0;evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/
-1.6352317385524953;0.6384060827701374;-0.1817569435984357;-0.4742259749436337;-0.2783612923526037;0.43588050629749214;-0.15861577617045353;-0.047677860816912235;0.16913349478863327;Grettir furious with goslings;gera mjög hermt;0.0;1.0;2.0;0.0;8.0;0.0;14.0;10.0;0.0;1.0;3.0;0.0;3.0;0.0;64.9;0;7.0;4.0;0.0;0.0;0.0;1.0;1.0;evernote:///view/2147483647/s94/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/13cbd94f-e807-44cd-a02a-f6e3dfb9ef79/
0.44958281271646616;-0.014901986072868113;-0.04959892768280039;-0.03259132142628788;-0.1796538506844579;-0.49198937010019406;-0.20273956091108689;-0.059687892733532935;-0.22195600449001432;Grettir parries father’s insult;temper management;0.0;0.0;1.0;;5.0;0.0;14.0;4.0;0.23076923076923078;1.0;2.0;2.0;3.0;3.0;65.5;evernote:///view/2147483647/s94/18f90dd9-e3a4-466c-858c-f10bc60ff9db/18f90dd9-e3a4-466c-858c-f10bc60ff9db/;0.0;1.0;1.0;10.0;4.0;1.0;;evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/
-1.231854971036757;0.3706073831331468;-0.17669886196540074;0.5820098182643321;-0.5778453543768909;0.23972550695418876;-0.33217869266398437;0.17376451494345052;-0.24737978171089117;Grettir scratches father;temper management;0.0;1.0;2.0;0.0;7.0;0.0;14.0;4.0;0.38461538461538464;1.0;3.0;4.0;3.0;3.0;65.6;evernote:///view/2147483647/s94/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/c2cbca04-4148-41a5-88c1-b7ad4c9f7a31/;3.0;4.0;0.0;0.0;0.0;0.0;1.0;evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/
0.008207284516217161;0.5532734099931419;0.09114633717109841;0.793671889756012;-0.11794736572516111;0.1284996914431492;0.10432089350281328;0.15452685031347624;-0.1561759291981882;Grettir vs father (Kengála);temper management;0.0;1.0;2.0;3.0;3.0;1.0;14.0;2.0;0.5384615384615384;1.0;3.0;4.0;3.0;3.0;66.3;evernote:///view/2147483647/s94/c26d7d6d-517b-41c6-aa1b-75efb1727fde/c26d7d6d-517b-41c6-aa1b-75efb1727fde/;0.0;1.0;1.0;3.0;5.0;2.0;0.0;evernote:///view/2147483647/s94/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/4ed13a1f-6fa0-420f-8ea3-d6d41725bf61/
-0.8215241877471038;0.5383928196371225;0.5964505675197129;-0.335300449376343;0.5540577965161478;0.2156866604722225;0.251060863384856;-0.17008926065953225;-0.11346033336713038;Grettir flays Kengála’s back;temper management;0.0;1.0;2.0;2.0;8.0;1.0;14.0;9.0;0.07692307692307693;1.0;3.0;3.0;3.0;0.0;66.5;1;6.0;5.0;1.0;7.0;6.0;2.0;1.0;evernote:///view/2147483647/s94/0af65d51-67e7-4689-902d-8430655cb024/0af65d51-67e7-4689-902d-8430655cb024/
0.4621238355328887;-0.11515008143120298;-0.04519000428770405;-0.05078362216252958;0.2545429273057582;0.17012052241078945;-0.09406599510589808;0.06543552067767358;-0.15691891322281182;Grettir gets angry at ball-game;X varð reiður;0.0;0.0;1.0;;2.0;2.0;15.0;8.0;0.0;1.0;3.0;4.0;3.0;2.0;67.9;0;0.0;2.0;1.0;8.0;6.0;1.0;;evernote:///view/2147483647/s94/2df617b1-bea1-4293-8bdf-ec64c55dbad6/2df617b1-bea1-4293-8bdf-ec64c55dbad6/
0.2096349164161781;0.042707001758876324;-0.04004980158215547;-0.3935223761383462;0.08505028019626784;-0.07753313876749625;-0.23687550872008295;0.22378342560030515;0.18139143259109;Grettir parries Skeggi’s reproach;self-control;0.0;0.0;1.0;;5.0;2.0;16.0;10.0;0.07692307692307693;1.0;3.0;2.0;2.0;1.0;69.6;;0.0;1.0;1.0;7.0;4.0;1.0;;evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/
0.2172761299407756;-0.027277663901431208;0.05585163193384239;-0.31947025273578916;-0.05569495147061167;-0.04245183601397253;-0.14484795634535524;0.042505841337465544;0.22895948587068085;Grettir’s 2nd retort to Skeggi;self-control;0.0;0.0;1.0;;5.0;2.0;16.0;10.0;0.23076923076923078;1.0;3.0;2.0;3.0;1.0;69.7;evernote:///view/2147483647/s94/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/3b6a8a1c-bfc5-4f49-9245-19f9f4e00d4a/;0.0;1.0;1.0;7.0;4.0;1.0;;evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/
-1.6033696772598018;-1.0045325225220316;-0.4210325782795989;0.0076512014544524234;-0.19685011471295943;0.2676782322084142;0.11481278044912283;-0.04746891508473837;-0.05972224590375333;Grettir kills Skeggi (food-bag episode);temper management;1.0;0.0;3.0;0.0;8.0;2.0;16.0;10.0;0.38461538461538464;1.0;3.0;6.0;4.0;1.0;69.8;evernote:///view/2147483647/s94/90a915f8-e772-4659-9980-f3ab66aa6214/90a915f8-e772-4659-9980-f3ab66aa6214/;7.0;5.0;0.0;0.0;0.0;0.0;1.0;evernote:///view/2147483647/s94/7421fd44-2665-4515-b1d1-068630869658/7421fd44-2665-4515-b1d1-068630869658/
